name,address,cuisine,lat,lng,region
Ekki Sushi,1150 Station St #146,Japanese,49.2737759,-123.097836,Strathcona
Tayybeh,401 Industrial Ave,Middle Eastern,49.2700048,-123.0957958,Strathcona
The Union,219 Union St,South East Asian,49.2777797,-123.0989601,Strathcona
Phnom Penh Restaurant,244 E Georgia St,Cambodian,49.2783154,-123.0981947,Strathcona
Vancouver Private Dining,1370 E Georgia St,Caterer,49.278305,-123.0755801,Grandview-Woodland
Torafuku,958 Main St,Pan Asian,49.2758842,-123.09968,Strathcona
Oyster Express,296 Keefer St,Seafood,49.2793021,-123.0973781,Strathcona
Kokomo,611 Gore Ave,Vegan,49.2791736,-123.0973488,Strathcona
Tacomio Pick Up Window,1245 Glen Dr,Takeout Restaurant,49.2735,-123.0819493,Strathcona
Steve's Poké Bar,891 Great Northern Way,Hawaiian,49.2663583,-123.0841213,Strathcona
Fat Mao Noodles,217 E Georgia St,Noodle Shop,49.2787559,-123.0989242,Strathcona
Ming Fong Fast Food,180 Keefer St,Chinese,49.2791047,-123.1007624,Downtown
Chinatown BBQ,130 E Pender St,Chinese,49.28016,-123.1015139,Downtown
Come Arepa,302 Industrial Ave,Fast Food,49.2697188,-123.0984273,Strathcona
Hey Dumplings!,208 Keefer St,Dumpling,49.279337,-123.0992115,Strathcona
Gain Wah Restaurant Ltd,218 Keefer St,Cantonese,49.2793717,-123.0989354,Strathcona
Kissa Tanto,263 E Pender St,Fusion restaurant,49.2806451,-123.0981172,Strathcona
Pacific Poke,625 Main St,Hawaiian,49.2790547,-123.1000169,Downtown
Bodega on Main,1014 Main St,Spanish,49.275431,-123.0993791,Strathcona
Bao Bei,163 Keefer St,Chinese,49.2796534,-123.1006157,Downtown
Virtuous Pie,583 Main St,Vegan,49.279734,-123.0999725,Downtown
Pizzeria Farina,915 Main St,Pizza,49.2765892,-123.1000905,Downtown
Sai Woo,158 E Pender St,Asian,49.2801505,-123.1009936,Downtown
Yolks,1598 E Hastings St,Breakfast,49.2811259,-123.072895,Grandview-Woodland
Kent's Kitchen,232 Keefer St,Chinese,49.2793684,-123.0988074,Strathcona
Absinthe Bistro,952 Commercial Dr,French,49.2759736,-123.0693516,Grandview-Woodland
Pepino's Spaghetti House,631 Commercial Dr,Italian,49.2788717,-123.0706063,Grandview-Woodland
A&W Canada,1150 Station St,Hamburger,49.2737759,-123.097836,Strathcona
New Town Bakery & Restaurant,148 E Pender St,Chinese bakery,49.2803095,-123.1011943,Downtown
DD MAU Chinatown,145 E Pender St,Vietnamese,49.2805781,-123.1008037,Downtown
Wilder Snail Neighborhood Grocery & Coffee,799 Keefer St,Coffee shop,49.279433,-123.0874543,Strathcona
Bali Thai,88 W Pender St,Indonesian,49.2804064,-123.1069714,Downtown
Cuchillo,261 Powell St,Latin American,49.2834276,-123.0981059,Strathcona
Kin Kao Thai Kitchen,903 Commercial Dr,Takeout Restaurant,49.2763558,-123.0696924,Grandview-Woodland
Campagnolo Upstairs,1020 Main St second floor,Bar,49.2754049,-123.0997124,Strathcona
PiDGiN Restaurant,350 Carrall St,Asian,49.28188100000001,-123.104145,Downtown
Strathcona Beer Company,895 E Hastings St,Brewpub,49.2812279,-123.0850699,Strathcona
Fets Whisky Kitchen,1230 Commercial Dr,Grill,49.2735267,-123.0692475,Grandview-Woodland
Straight Outta Brooklyn NYC Pizza,648 Main St,Pizza,49.2786853,-123.0995522,Strathcona
Ginger Sushi,1437 Commercial Dr,Takeout Restaurant,49.2717096,-123.0697506,Grandview-Woodland
Axum Restaurant,1279 E Hastings St,Ethiopian,49.2816149,-123.0777844,Strathcona
Kam Wai Dim Sum 金 威 點 心,249 E Pender St,Chinese,49.28061,-123.098438,Strathcona
The Mackenzie Room,415 Powell St,Canadian,49.2833009,-123.0949246,Strathcona
L'Abattoir,217 Carrall St,Pacific Northwest,49.2831234,-123.1044431,Downtown
Sopra Sotto Pizzeria,1510 Commercial Dr,Italian,49.271035,-123.0692425,Grandview-Woodland
Arriva Ristorante Ltd,1537 Commercial Dr,Italian,49.2709212,-123.0698917,Grandview-Woodland
La Mezcaleria,1622 Commercial Dr,Mexican,49.2700977,-123.0692773,Grandview-Woodland
Ask For Luigi Restaurant,305 Alexander St,Italian,49.2842,-123.0977177,Strathcona
